date_utc,samples,delta_avg_mv,delta_max_mv,delta_min_mv,delta_stdev_mv,soc_avg_pct,soc_min_pct,soc_max_pct,cell_min_observed_mv,cell_max_observed_mv,temp_max_avg_c,temp_min_avg_c,samples_discharge,samples_charge,peak_discharge_a,peak_charge_a
2026-03-23,957,20.0,20,20,0.0,31.0,31.0,31.0,3560,3580,10.5,11.7,357,0,-5911.6,0.0
2026-03-24,2876,12.9,40,0,9.6,29.5,27.0,31.0,3540,3580,10.8,13.0,0,0,0.0,0.0
2026-03-25,2331,16.7,20,0,7.5,27.0,27.0,31.0,3540,3580,11.0,13.3,0,0,0.0,0.0
2026-03-27,2096,18.9,20,16,1.4,29.3,27.0,30.0,3540,3574,12.9,11.3,0,0,0.0,0.0
2026-03-28,2880,17.0,17,17,0.0,29.2,29.2,29.2,3554,3571,13.5,11.5,0,0,0.0,0.0
2026-03-29,343,17.0,17,17,0.0,29.2,29.2,29.2,3554,3571,13.5,11.5,0,0,0.0,0.0
2026-03-30,903,17.5,20,15,0.8,27.7,27.2,28.0,3545,3565,13.5,11.5,0,0,0.0,0.0
2026-03-31,2887,16.7,20,15,1.0,27.3,26.8,28.0,3543,3565,13.5,11.4,0,0,0.0,0.0
2026-04-01,2812,16.4,20,14,1.0,26.8,26.2,27.6,3540,3563,13.5,11.4,0,0,0.0,0.0
2026-04-02,2883,16.3,19,14,1.0,26.3,25.8,27.0,3538,3560,13.2,11.0,0,0,0.0,0.0
2026-04-03,2879,16.2,20,13,0.9,25.8,25.2,26.6,3536,3558,13.4,11.1,0,0,0.0,0.0
2026-04-04,2877,16.2,19,13,1.0,25.3,24.8,26.0,3533,3555,13.8,11.4,0,0,0.0,0.0
2026-04-05,2879,15.8,19,13,0.8,24.8,24.0,25.6,3531,3553,14.3,11.9,0,0,0.0,0.0
2026-04-06,2863,16.1,19,13,1.1,24.2,23.5,25.0,3529,3550,14.5,12.3,0,0,0.0,0.0
2026-04-07,1507,15.7,19,14,0.7,23.8,23.5,24.5,3528,3548,14.5,12.2,0,0,0.0,0.0
2026-04-08,764,16.3,19,14,1.0,22.9,22.5,23.5,3524,3544,13.9,12.0,0,0,0.0,0.0
2026-04-09,990,16.2,19,14,0.9,22.8,22.3,23.5,3523,3544,13.8,11.5,0,0,0.0,0.0
2026-04-18,1168,16.1,20,14,0.8,22.6,22.3,23.3,3523,3543,14.2,12.9,0,0,0.0,0.0
2026-04-19,2859,17.2,20,14,1.1,22.3,21.5,22.8,3519,3541,14.9,12.9,0,0,0.0,0.0
2026-04-20,2880,18.1,23,16,1.1,21.7,21.3,22.5,3515,3540,15.0,12.9,0,0,0.0,0.0
2026-04-21,2881,20.3,24,17,1.1,21.2,20.8,22.0,3510,3538,14.9,12.5,0,0,0.0,0.0
2026-04-22,2861,22.5,26,18,1.1,20.7,20.0,21.3,3506,3535,14.8,12.5,0,0,0.0,0.0
2026-04-23,2907,21.8,28,15,3.0,22.8,19.5,35.6,3504,3603,14.9,12.8,0,0,0.0,0.0
2026-04-24,2878,18.3,22,16,1.0,26.8,0.0,50.0,3545,3571,15.3,13.0,0,0,-0.1,0.0
2026-04-25,2878,19.0,22,16,0.9,25.4,25.0,25.8,3541,3568,15.3,13.0,0,0,-0.1,0.0
2026-04-26,2879,19.7,23,17,0.8,24.5,23.8,25.0,3536,3563,15.4,13.0,0,0,-0.1,0.0
2026-04-27,2879,20.6,24,17,0.9,23.4,23.0,24.0,3531,3559,15.3,12.9,0,0,-0.1,0.0
2026-04-28,2882,19.3,26,12,3.6,26.4,16.3,36.6,3474,3638,15.3,13.1,12,64,-21.8,21.9
2026-04-29,2881,16.2,20,14,1.1,32.2,31.8,32.6,3574,3598,15.2,13.0,0,0,-0.1,0.1
2026-04-30,2891,24.8,39,11,8.5,53.2,31.4,77.9,3571,3871,16.1,13.6,0,481,-0.3,21.9
2026-05-01,2242,32.9,39,27,3.4,76.0,74.9,77.5,3795,3853,16.1,12.8,2,61,-4.0,19.1
2026-05-02,2888,30.6,45,12,5.8,79.8,36.9,100.0,3580,4148,18.1,12.7,1290,442,-17.6,45.1
2026-05-03,2877,27.0,45,11,8.8,60.6,29.8,100.0,3555,4149,20.9,14.6,1135,740,-17.8,28.7
2026-05-04,2869,29.1,48,12,10.1,59.7,28.4,98.9,3546,4148,23.3,16.6,1150,820,-18.2,29.8
2026-05-05,2757,29.2,48,12,9.2,46.8,9.0,96.7,3460,4106,23.7,16.7,1376,964,-18.9,26.5
2026-05-06,2879,31.3,51,12,9.9,52.3,14.5,100.0,3486,4149,27.6,20.7,1176,929,-17.0,30.6
2026-05-07,2879,21.7,42,11,6.4,32.3,18.8,54.6,3413,3711,28.0,21.2,1292,749,-21.6,31.7
2026-05-08,2880,46.6,150,12,46.6,20.7,0.3,46.6,3265,3674,26.8,20.6,859,518,-23.0,43.1
2026-05-09,2890,83.4,150,20,50.0,7.3,0.3,15.0,3269,3573,24.2,18.4,2,323,-1.1,10.2
2026-05-10,2486,37.9,42,32,2.1,15.9,15.0,18.9,3498,3591,22.1,16.8,174,204,-9.0,10.7
