date_utc,samples,delta_avg_mv,delta_max_mv,delta_min_mv,cell_min_observed_mv,cell_max_observed_mv,pack_voltage_min_v,pack_voltage_max_v,peak_negative_current_a,peak_positive_current_a,temp_max_avg_c,temp_min_avg_c
2026-03-23,957,20.0,20,20,3560,3580,23.3,343.4,-5911.6,0.0,10.5,11.7
2026-03-24,2876,12.9,40,0,3540,3580,22.8,343.3,0.0,0.0,10.8,13.0
2026-03-25,2331,16.7,20,0,3540,3580,0.0,343.0,0.0,0.0,11.0,13.3
2026-03-27,2096,18.9,20,16,3540,3574,342.3,342.5,0.0,0.0,12.9,11.3
2026-03-28,2880,17.0,17,17,3554,3571,342.4,342.4,0.0,0.0,13.5,11.5
2026-03-29,343,17.0,17,17,3554,3571,342.4,342.4,0.0,0.0,13.5,11.5
2026-03-30,903,17.5,20,15,3545,3565,341.4,341.5,0.0,0.0,13.5,11.5
2026-03-31,2887,16.7,20,15,3543,3565,341.1,341.4,0.0,0.0,13.5,11.4
2026-04-01,2812,16.4,20,14,3540,3563,340.9,341.2,0.0,0.0,13.5,11.4
2026-04-02,2883,16.3,19,14,3538,3560,340.6,340.9,0.0,0.0,13.2,11.0
2026-04-03,2879,16.2,20,13,3536,3558,340.4,340.7,0.0,0.0,13.4,11.1
2026-04-04,2877,16.2,19,13,3533,3555,340.1,340.4,0.0,0.0,13.8,11.4
2026-04-05,2879,15.8,19,13,3531,3553,339.9,340.2,0.0,0.0,14.3,11.9
2026-04-06,2863,16.1,19,13,3529,3550,339.7,339.9,0.0,0.0,14.5,12.3
2026-04-07,1507,15.7,19,14,3528,3548,339.5,339.7,0.0,0.0,14.5,12.2
2026-04-08,764,16.3,19,14,3524,3544,339.2,339.3,0.0,0.0,13.9,12.0
2026-04-09,990,16.2,19,14,3523,3544,339.1,339.2,0.0,0.0,13.8,11.5
2026-04-18,1168,16.1,20,14,3523,3543,339.0,339.2,0.0,0.0,14.2,12.9
2026-04-19,2859,17.2,20,14,3519,3541,338.8,339.1,0.0,0.0,14.9,12.9
2026-04-20,2880,18.1,23,16,3515,3540,338.5,338.8,0.0,0.0,15.0,12.9
2026-04-21,2881,20.3,24,17,3510,3538,338.2,338.5,0.0,0.0,14.9,12.5
2026-04-22,2861,22.5,26,18,3506,3535,337.9,338.2,0.0,0.0,14.8,12.5
2026-04-23,2907,21.8,28,15,3504,3603,337.6,344.9,0.0,0.0,14.9,12.8
2026-04-24,2878,18.3,22,16,3545,3571,341.2,341.7,-0.1,0.0,15.3,13.0
2026-04-25,2878,19.0,22,16,3541,3568,340.8,341.3,-0.1,0.0,15.3,13.0
2026-04-26,2879,19.7,23,17,3536,3563,340.4,340.8,-0.1,0.0,15.4,13.0
2026-04-27,2879,20.6,24,17,3531,3559,340.0,340.4,-0.1,0.0,15.3,12.9
2026-04-28,2882,19.3,26,12,3474,3638,334.7,348.5,-21.8,21.9,15.3,13.1
2026-04-29,2881,16.2,20,14,3574,3598,344.1,344.5,-0.1,0.1,15.2,13.0
2026-04-30,2891,24.8,39,11,3571,3871,343.9,369.9,-0.3,21.9,16.1,13.6
2026-05-01,2242,32.9,39,27,3795,3853,366.4,368.2,-4.0,19.1,16.1,12.8
2026-05-02,2888,30.6,45,12,3580,4148,344.3,396.4,-17.6,45.1,18.1,12.7
2026-05-03,2877,27.0,45,11,3555,4149,342.1,396.1,-17.8,28.7,20.9,14.6
2026-05-04,2869,29.1,48,12,3546,4148,341.4,395.6,-18.2,29.8,23.3,16.6
2026-05-05,2757,29.2,48,12,3460,4106,333.8,392.2,-18.9,26.5,23.7,16.7
2026-05-06,2879,31.3,51,12,3486,4149,336.1,395.5,-17.0,30.6,27.6,20.7
2026-05-07,2879,21.7,42,11,3413,3711,328.6,355.1,-21.6,31.7,28.0,21.2
2026-05-08,2880,46.6,150,12,3265,3674,323.4,351.8,-23.0,43.1,26.8,20.6
2026-05-09,2890,83.4,150,20,3269,3573,324.2,341.3,-1.1,10.2,24.2,18.4
2026-05-10,2573,37.9,42,32,3498,3591,337.7,343.0,-9.0,10.7,22.0,16.8
