cell_position_1_indexed,times_was_min,times_was_max,pct_of_time_min,pct_of_time_max,avg_voltage_when_min_mv,avg_voltage_when_max_mv
1,17024,17025,17.16,17.16,3549.8,3566.3
2,1,0,0.00,0.00,3661.0,
3,0,0,0.00,0.00,,
4,0,0,0.00,0.00,,
5,0,0,0.00,0.00,,
6,0,0,0.00,0.00,,
7,3,0,0.00,0.00,3585.0,
8,1,0,0.00,0.00,3570.0,
9,0,1919,0.00,1.93,,3553.1
10,0,1715,0.00,1.73,,3570.9
11,0,18092,0.00,18.24,,3571.7
12,0,48047,0.00,48.44,,3629.7
13,0,1792,0.00,1.81,,3522.5
14,0,5098,0.00,5.14,,3551.3
15,0,3772,0.00,3.80,,3569.8
16,0,1417,0.00,1.43,,3570.2
17,0,0,0.00,0.00,,
18,0,0,0.00,0.00,,
19,0,0,0.00,0.00,,
20,0,0,0.00,0.00,,
21,0,0,0.00,0.00,,
22,0,0,0.00,0.00,,
23,0,0,0.00,0.00,,
24,0,0,0.00,0.00,,
25,0,0,0.00,0.00,,
26,0,0,0.00,0.00,,
27,0,0,0.00,0.00,,
28,0,0,0.00,0.00,,
29,0,0,0.00,0.00,,
30,0,0,0.00,0.00,,
31,0,0,0.00,0.00,,
32,0,0,0.00,0.00,,
33,0,0,0.00,0.00,,
34,7,0,0.01,0.00,3602.9,
35,8,0,0.01,0.00,3596.8,
36,10,0,0.01,0.00,3610.3,
37,0,0,0.00,0.00,,
38,1,0,0.00,0.00,3635.0,
39,1,0,0.00,0.00,3630.0,
40,0,0,0.00,0.00,,
41,0,0,0.00,0.00,,
42,0,0,0.00,0.00,,
43,0,0,0.00,0.00,,
44,0,0,0.00,0.00,,
45,0,0,0.00,0.00,,
46,0,0,0.00,0.00,,
47,0,0,0.00,0.00,,
48,0,149,0.00,0.15,,3600.0
49,19178,1,19.34,0.00,3544.3,3610.0
50,234,0,0.24,0.00,3549.9,
51,2749,0,2.77,0.00,3550.9,
52,1392,0,1.40,0.00,3552.7,
53,447,0,0.45,0.00,3552.7,
54,12,0,0.01,0.00,3570.8,
55,6,0,0.01,0.00,3583.3,
56,151,0,0.15,0.00,3572.5,
57,0,0,0.00,0.00,,
58,0,9,0.00,0.01,,3610.4
59,1373,0,1.38,0.00,3536.1,
60,11562,0,11.66,0.00,3533.7,
61,5647,0,5.69,0.00,3532.3,
62,3614,0,3.64,0.00,3528.9,
63,0,0,0.00,0.00,,
64,0,61,0.00,0.06,,3594.5
65,1852,0,1.87,0.00,3732.7,
66,4023,0,4.06,0.00,3661.6,
67,3401,0,3.43,0.00,3794.5,
68,7269,0,7.33,0.00,3647.5,
69,443,0,0.45,0.00,3679.2,
70,3591,0,3.62,0.00,3565.0,
71,2049,0,2.07,0.00,3697.4,
72,13139,0,13.25,0.00,3553.3,
73,0,0,0.00,0.00,,
74,0,0,0.00,0.00,,
75,0,0,0.00,0.00,,
76,0,1,0.00,0.00,,3591.0
77,0,1,0.00,0.00,,3593.0
78,0,1,0.00,0.00,,3604.0
79,0,4,0.00,0.00,,3599.8
80,0,19,0.00,0.02,,3605.8
81,0,0,0.00,0.00,,
82,0,0,0.00,0.00,,
83,0,0,0.00,0.00,,
84,0,0,0.00,0.00,,
85,0,0,0.00,0.00,,
86,0,0,0.00,0.00,,
87,0,0,0.00,0.00,,
88,0,0,0.00,0.00,,
89,0,0,0.00,0.00,,
90,0,0,0.00,0.00,,
91,0,0,0.00,0.00,,
92,0,0,0.00,0.00,,
93,0,1,0.00,0.00,,3586.0
94,0,0,0.00,0.00,,
95,0,0,0.00,0.00,,
96,0,64,0.00,0.06,,3562.4
