date_utc,mod_1_c,mod_2_c,mod_3_c,mod_4_c,mod_5_c,mod_6_c,day_max_c,day_min_c,samples
2026-03-23,10.5,10.5,10.5,11.7,10.5,10.9,10.5,11.0,957
2026-03-24,10.9,10.8,11.1,13.0,11.1,11.2,11.0,12.0,2876
2026-03-25,11.3,11.0,11.4,13.3,11.3,11.5,11.0,13.0,2331
2026-03-27,11.4,11.3,11.3,12.9,11.4,11.8,13.5,11.0,2096
2026-03-28,11.5,11.5,11.5,13.5,11.5,12.0,13.5,11.5,2880
2026-03-29,11.5,11.5,11.5,13.5,11.5,12.0,13.5,11.5,343
2026-03-30,11.5,11.5,11.5,13.5,11.5,11.5,13.5,11.5,903
2026-03-31,11.5,11.4,11.5,13.5,11.5,11.8,13.5,11.0,2887
2026-04-01,11.5,11.3,11.5,13.5,11.5,11.9,13.5,11.0,2812
2026-04-02,11.1,11.0,11.4,13.2,11.2,11.5,13.5,11.0,2883
2026-04-03,11.3,11.1,11.5,13.4,11.4,11.8,13.5,11.0,2879
2026-04-04,11.8,11.4,11.8,13.8,11.8,12.1,14.0,11.0,2877
2026-04-05,12.2,11.9,12.3,14.3,12.3,12.4,14.5,11.5,2879
2026-04-06,12.4,12.3,12.5,14.5,12.5,12.8,14.5,12.0,2863
2026-04-07,12.3,12.2,12.5,14.5,12.5,12.7,14.5,12.0,1507
2026-04-08,12.0,12.0,12.0,13.9,12.0,12.4,14.0,11.5,764
2026-04-09,11.7,11.5,12.0,13.8,12.0,12.0,14.0,11.5,990
2026-04-18,13.0,12.9,13.0,14.2,13.0,13.5,14.5,12.5,1168
2026-04-19,13.0,12.9,13.2,14.9,13.2,13.7,15.0,12.5,2859
2026-04-20,13.0,12.9,13.0,15.0,13.0,13.5,15.0,12.5,2880
2026-04-21,12.7,12.5,13.0,14.9,13.0,13.3,15.0,12.5,2881
2026-04-22,12.7,12.5,13.0,14.8,12.9,13.3,15.0,12.5,2861
2026-04-23,12.9,12.8,13.2,14.8,13.0,13.4,15.5,12.5,2907
2026-04-24,13.0,13.0,13.4,15.3,13.3,13.5,15.5,13.0,2878
2026-04-25,13.2,13.0,13.4,15.3,13.3,13.5,15.5,13.0,2878
2026-04-26,13.1,13.0,13.5,15.4,13.4,13.5,15.5,13.0,2879
2026-04-27,13.0,12.9,13.3,15.3,13.3,13.4,15.5,12.5,2879
2026-04-28,13.2,13.1,13.4,15.3,13.3,13.6,15.5,13.0,2882
2026-04-29,13.1,13.0,13.4,15.2,13.2,13.5,15.5,13.0,2881
2026-04-30,13.7,13.6,14.0,16.1,14.0,14.2,18.5,12.5,2891
2026-05-01,12.9,12.8,13.4,16.1,13.5,13.6,17.0,12.0,2242
2026-05-02,12.7,12.7,13.6,18.1,14.4,14.2,19.5,11.5,2888
2026-05-03,14.6,14.7,16.0,20.9,17.1,17.2,24.0,12.0,2877
2026-05-04,16.6,16.8,18.1,23.3,19.5,19.6,27.0,14.0,2869
2026-05-05,16.6,16.8,18.3,23.7,19.9,19.9,27.0,13.0,2757
2026-05-06,20.7,20.7,22.2,27.5,23.9,24.1,31.5,17.0,2879
2026-05-07,21.2,21.4,22.8,28.0,24.4,24.6,29.0,20.0,2879
2026-05-08,20.6,20.7,22.0,26.8,23.3,23.4,28.0,20.0,2880
2026-05-09,18.4,18.5,19.7,24.2,20.6,20.4,27.0,17.5,2890
2026-05-10,16.8,16.9,17.8,22.0,18.8,18.9,22.5,16.5,2488
