can_id_hex,direction,dlc,frames_in_60s,avg_freq_hz,avg_period_ms,is_extended,is_fd,first_payload_hex
0x091,rx,8,72,1.20,833.33,f,f,0D35001100000100
0x0D1,rx,8,71,1.18,845.07,f,f,000F000000000000
0x110,tx,8,29,0.48,2068.97,f,f,0F900B4001F401C2
0x111,rx,8,72,1.20,833.33,f,f,6A01295100000000
0x150,tx,8,29,0.48,2068.97,f,f,063800000121071D
0x190,tx,8,29,0.48,2068.97,f,f,0000030000000000
0x1D0,tx,8,29,0.48,2068.97,f,f,0D34FFFF00B50308
0x200,rx,8,2399,39.98,25.01,f,f,161EF61FB1087800
0x202,rx,8,2400,40.00,25.00,f,f,15F0F5F0AFA87800
0x204,rx,8,2399,39.98,25.01,f,f,1611F600AFE87800
0x206,rx,8,2399,39.98,25.01,f,f,15F6F5F4AF987800
0x208,rx,8,2399,39.98,25.01,f,f,0000000000007800
0x20C,rx,6,2399,39.98,25.01,f,f,020007B0B1AF
0x210,tx,8,29,0.48,2068.97,f,f,00D700A500000000
0x216,rx,7,2399,39.98,25.01,f,f,01FA8F8C8AFB1D
0x250,tx,8,6,0.10,10000.00,f,f,0329006602800209
0x260,rx,8,1199,19.98,50.04,f,f,2A4A4A4A4A000000
0x262,rx,3,1199,19.98,50.04,f,f,4A4A4A
0x270,rx,8,1199,19.98,50.04,f,f,4B4B4B484B4B4B48
0x272,rx,8,1199,19.98,50.04,f,f,4848484848484848
0x274,rx,2,1199,19.98,50.04,f,f,4848
0x290,tx,8,6,0.10,10000.00,f,f,063710D900000000
0x2C7,rx,6,2399,39.98,25.01,f,f,036000A8F000
0x2D0,tx,8,6,0.10,10000.00,f,f,0042594400000000
0x302,rx,8,599,9.98,100.17,f,f,037171737B74751E
0x308,rx,5,599,9.98,100.17,f,f,2492492490
0x3E3,rx,7,598,9.97,100.33,f,f,AFB17BA57101B0
0x460,rx,4,239,3.98,251.05,f,f,0C000000
0x778,tx,7,2999,49.98,20.01,f,f,00310000000000
0x7E7,tx,8,600,10.00,100.00,f,f,0322C21800000000
0x7EF,rx,8,600,10.00,100.00,f,f,0562C218B449AAAA
